sample,sex,hap1,hap2
HG01261,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01261/assemblies/HG01261_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01261/assemblies/HG01261_mat_hprc_r2_v1.0.1.fa.gz
HG01346,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01346/assemblies/HG01346_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01346/assemblies/HG01346_mat_hprc_r2_v1.0.1.fa.gz
HG01358,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01358/assemblies/HG01358_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01358/assemblies/HG01358_mat_hprc_r2_v1.0.1.fa.gz
HG01361,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01361/assemblies/HG01361_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01361/assemblies/HG01361_mat_hprc_r2_v1.0.1.fa.gz
HG01433,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01433/assemblies/HG01433_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01433/assemblies/HG01433_mat_hprc_r2_v1.0.1.fa.gz
HG01496,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01496/assemblies/HG01496_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01496/assemblies/HG01496_mat_hprc_r2_v1.0.1.fa.gz
HG01530,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01530/assemblies/HG01530_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01530/assemblies/HG01530_hap2_hprc_r2_v1.0.1.fa.gz
HG01784,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01784/assemblies/HG01784_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01784/assemblies/HG01784_hap2_hprc_r2_v1.0.1.fa.gz
HG01786,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01786/assemblies/HG01786_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01786/assemblies/HG01786_hap2_hprc_r2_v1.0.1.fa.gz
HG01884,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01884/assemblies/HG01884_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01884/assemblies/HG01884_mat_hprc_r2_v1.0.1.fa.gz
HG01891,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01891/assemblies/HG01891_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01891/assemblies/HG01891_mat_hprc_r2_v1.0.1.fa.gz
